s_id,experiment,session,trial,scan_id,1st Image,1st Stim,2nd Image,2nd Stim,CRESP,First jitter,Fixation jitter,RESP,RT,condition
666,symbolic,1,1,?,,3,,5,0,1.7,8.3,0,2.5,greater
666,symbolic,1,2,?,stimuli\circle__1_7_equalto_7_perimeter_S1.png,7,stimuli\circle__1_7_equalto_7_perimeter_S2.png,7,1,3.5,5.6,0,2.5,same
666,symbolic,1,3,?,,1,,1,1,2.7,7.7,0,2.5,same
666,symbolic,1,4,?,stimuli\circle__1_9_lessthn_1_area_S1.png,9,stimuli\circle__1_9_lessthn_1_area_S2.png,1,0,5.3,2.7,0,0,less
666,symbolic,1,5,?,stimuli\circle__1_6_equalto_6_perimeter_S1.png,6,stimuli\circle__1_6_equalto_6_perimeter_S2.png,6,1,1.8,7.3,0,2.5,same
666,symbolic,1,6,?,,8,,6,0,2.1,4.6,0,2.5,less
666,symbolic,1,7,?,stimuli\circle__1_4_equalto_4_area_S1.png,4,stimuli\circle__1_4_equalto_4_area_S2.png,4,1,3.4,7.1,0,2.5,same
666,symbolic,1,8,?,,2,,7,0,2.9,8.2,0,2.5,greater
666,symbolic,1,9,?,,5,,3,0,1.5,3.8,0,2.5,less
666,symbolic,1,10,?,stimuli\circle__1_8_greater_9_area_S1.png,8,stimuli\circle__1_8_greater_9_area_S2.png,9,0,4.1,3.0,0,0,greater
666,symbolic,1,11,?,stimuli\circle__1_9_equalto_9_perimeter_S1.png,9,stimuli\circle__1_9_equalto_9_perimeter_S2.png,9,1,4.3,6.0,0,2.5,same
666,symbolic,1,12,?,,3,,3,1,5.5,3.4,0,2.5,same
666,symbolic,1,13,?,stimuli\circle__1_7_lessthn_1_area_S1.png,7,stimuli\circle__1_7_lessthn_1_area_S2.png,1,0,4.0,2.2,0,0,less
666,symbolic,1,14,?,,5,,5,1,4.5,6.6,0,2.5,same
666,symbolic,1,15,?,,4,,9,0,3.2,2.5,0,2.5,greater
666,symbolic,1,16,?,stimuli\circle__1_1_equalto_1_perimeter_S1.png,1,stimuli\circle__1_1_equalto_1_perimeter_S2.png,1,1,2.0,4.9,0,2.5,same
666,symbolic,1,17,?,,2,,1,0,4.4,3.2,0,2.5,less
666,symbolic,1,18,?,stimuli\circle__1_6_equalto_6_perimeter_S2.png,6,stimuli\circle__1_6_equalto_6_perimeter_S2.png,6,1,2.5,5.0,0,2.5,same
666,symbolic,1,19,?,,8,,9,0,1.9,3.9,0,2.5,greater
666,symbolic,1,20,?,stimuli\circle__1_9_equalto_9_area_S1.png,9,stimuli\circle__1_9_equalto_9_area_S2.png,9,1,3.9,3.1,0,2.5,same
666,symbolic,1,21,?,,5,,5,1,4.7,3.5,0,2.5,same
666,symbolic,1,22,?,stimuli\circle__1_2_lessthn_1_area_S1.png,2,stimuli\circle__1_2_lessthn_1_area_S2.png,1,0,1.6,5.8,0,0,less
666,symbolic,1,23,?,stimuli\circle__1_4_greater_5_perimeter_S1.png,4,stimuli\circle__1_4_greater_5_perimeter_S2.png,5,0,2.2,4.4,0,0,greater
666,symbolic,1,24,?,,1,,1,1,4.8,7.8,0,2.5,same
666,symbolic,1,25,?,,6,,0,0,2.3,6.3,0,2.5,less
666,symbolic,1,26,?,stimuli\circle__1_7_equalto_7_area_S1.png,7,stimuli\circle__1_7_equalto_7_area_S2.png,7,1,3.3,4.5,0,2.5,same
666,symbolic,1,27,?,,3,,6,0,5.1,8.1,0,2.5,greater
666,symbolic,1,28,?,stimuli\circle__2_6_equalto_6_perimeter_S1.png,6,stimuli\circle__2_6_equalto_6_perimeter_S2.png,6,1,4.9,6.9,0,2.5,same
666,symbolic,1,29,?,,8,,6,0,3.8,4.8,0,2.5,less
666,symbolic,1,30,?,stimuli\circle__1_2_equalto_2_area_S1.png,2,stimuli\circle__1_2_equalto_2_area_S2.png,2,1,2.6,4.7,0,2.5,same
666,symbolic,1,31,?,,7,,8,0,4.2,4.2,0,2.5,greater
666,symbolic,1,32,?,stimuli\circle__1_4_equalto_4_perimeter_S1.png,4,stimuli\circle__1_4_equalto_4_perimeter_S2.png,4,1,3.0,1.9,0,2.5,same
666,symbolic,1,33,?,,5,,5,1,3.6,2.4,0,2.5,same
666,symbolic,1,34,?,stimuli\circle__1_3_greater_4_perimeter_S1.png,3,stimuli\circle__1_3_greater_4_perimeter_S2.png,4,0,3.7,2.3,0,0,greater
666,symbolic,1,35,?,,1,,1,1,5.2,7.6,0,2.5,same
666,symbolic,1,36,?,stimuli\circle__1_9_lessthn_1_area_S2.png,9,stimuli\circle__1_9_lessthn_1_area_S2.png,1,0,5.0,7.0,0,0,less
