file,shape,n1,n2,ratio,1/ratio,area_n1,area_n2,area_ratio,per_n1,per_n2,per_ratio
circle__1_equal_1_1_area_S1.png, circle,1,1,1,1,13824,13824,1,416,416,1
circle__1_greaterthan_1_2_area_S1.png, circle,1,2,0.5,2,13824,13824,1,416,583,0.71
circle__1_greaterthan_1_2_area_S2.png, circle,1,2,0.5,2,13824,13824,1,416,583,0.71
circle__1_greaterthan_1_3_area_S1.png, circle,1,3,0.33,3,13824,13824,1,416,696,0.6
circle__1_greaterthan_1_3_area_S2.png, circle,1,3,0.33,3,13824,13824,1,416,696,0.6
circle__1_greaterthan_1_4_area_S1.png, circle,1,4,0.25,4,13824,13824,1,416,814,0.51
circle__1_greaterthan_1_4_area_S2.png, circle,1,4,0.25,4,13824,13824,1,416,814,0.51
circle__1_greaterthan_1_5_area_S1.png, circle,1,5,0.2,5,13824,13824,1,416,911,0.46
circle__1_greaterthan_1_5_area_S2.png, circle,1,5,0.2,5,13824,13824,1,416,911,0.46
circle__1_greaterthan_1_6_area_S1.png, circle,1,6,0.17,6,13824,13824,1,416,959,0.43
circle__1_greaterthan_1_6_area_S2.png, circle,1,6,0.17,6,13824,13824,1,416,959,0.43
circle__1_greaterthan_1_7_area_S1.png, circle,1,7,0.14,7,13824,13824,1,416,1082,0.38
circle__1_greaterthan_1_7_area_S2.png, circle,1,7,0.14,7,13824,13824,1,416,1082,0.38
circle__1_greaterthan_1_8_area_S1.png, circle,1,8,0.13,8,13824,13824,1,416,1144,0.36
circle__1_greaterthan_1_8_area_S2.png, circle,1,8,0.13,8,13824,13824,1,416,1144,0.36
circle__1_greaterthan_1_9_area_S1.png, circle,1,9,0.11,9,13824,13824,1,416,1199,0.35
circle__1_greaterthan_1_9_area_S2.png, circle,1,9,0.11,9,13824,13824,1,416,1199,0.35
circle__1_lessthan_2_1_area_S1.png, circle,2,1,2,0.5,13824,13824,1,579,416,1.39
circle__1_lessthan_2_1_area_S2.png, circle,2,1,2,0.5,13824,13824,1,579,416,1.39
circle__1_equal_2_2_area_S1.png, circle,2,2,1,1,13824,13824,1,584,549,1.06
circle__1_equal_2_2_area_S2.png, circle,2,2,1,1,13824,13824,1,584,549,1.06
circle__1_greaterthan_2_3_area_S1.png, circle,2,3,0.67,1.5,13824,13824,1,574,702,0.82
circle__1_greaterthan_2_3_area_S2.png, circle,2,3,0.67,1.5,13824,13824,1,574,702,0.82
circle__1_greaterthan_2_4_area_S1.png, circle,2,4,0.5,2,13824,13824,1,545,798,0.68
circle__1_greaterthan_2_4_area_S2.png, circle,2,4,0.5,2,13824,13824,1,545,798,0.68
circle__1_greaterthan_2_5_area_S1.png, circle,2,5,0.4,2.5,13824,13824,1,555,899,0.62
circle__1_greaterthan_2_5_area_S2.png, circle,2,5,0.4,2.5,13824,13824,1,555,899,0.62
circle__1_greaterthan_2_6_area_S1.png, circle,2,6,0.33,3,13824,13824,1,585,993,0.59
circle__1_greaterthan_2_6_area_S2.png, circle,2,6,0.33,3,13824,13824,1,585,993,0.59
circle__1_greaterthan_2_7_area_S1.png, circle,2,7,0.29,3.5,13824,13824,1,573,1077,0.53
circle__1_greaterthan_2_7_area_S2.png, circle,2,7,0.29,3.5,13824,13824,1,573,1077,0.53
circle__1_greaterthan_2_8_area_S1.png, circle,2,8,0.25,4,13824,13824,1,566,1143,0.5
circle__1_greaterthan_2_8_area_S2.png, circle,2,8,0.25,4,13824,13824,1,566,1143,0.5
circle__1_greaterthan_2_9_area_S1.png, circle,2,9,0.22,4.5,13824,13824,1,579,1191,0.49
circle__1_greaterthan_2_9_area_S2.png, circle,2,9,0.22,4.5,13824,13824,1,579,1191,0.49
circle__1_lessthan_3_1_area_S1.png, circle,3,1,3,0.33,13824,13824,1,702,416,1.69
circle__1_lessthan_3_1_area_S2.png, circle,3,1,3,0.33,13824,13824,1,702,416,1.69
circle__1_lessthan_3_2_area_S1.png, circle,3,2,1.5,0.67,13824,13824,1,696,542,1.28
circle__1_lessthan_3_2_area_S2.png, circle,3,2,1.5,0.67,13824,13824,1,696,542,1.28
circle__1_equal_3_3_area_S1.png, circle,3,3,1,1,13824,13824,1,692,691,1
circle__1_equal_3_3_area_S2.png, circle,3,3,1,1,13824,13824,1,692,691,1
circle__1_greaterthan_3_4_area_S1.png, circle,3,4,0.75,1.33,13824,13824,1,700,801,0.87
circle__1_greaterthan_3_4_area_S2.png, circle,3,4,0.75,1.33,13824,13824,1,700,801,0.87
